First_Name,EMail,Age,Gender,Location_Preferences,Latitude,Longitude,Country,City,Languages_Preferred,Last_Seen,Response_Time
Rigo,rigo.ertaş@t-online.de,32,Female,Local or Remote,52.434681118411945,13.580691195803833,Germany,Berlin,['Punjabi'],Recently,Within a month
Olivia,olivia.powell@1und1.de,25,Diverse,Local or Remote,52.54069805627097,13.68562780321616,Germany,Berlin,['Japanese'],Within a Month,Within a week
Güçlüer,güçlüer.piwowarek@protonmail.com,27,Female,Remote Only,52.41589837245669,13.248988252956602,Germany,Berlin,"['Punjabi', 'Japanese', 'Romanian']",Within a Week,More than a month
Aurelia,aurelia.tavares@arcor.de,27,Female,Local or Remote,52.468768062334085,13.330759482302353,Germany,Berlin,"['Hindi', 'Japanese']",Within a Week,Within a week
Urbano,urbano.gülen@zoho.com,29,Male,Local or Remote,52.37483297536614,13.718741472028498,Germany,Berlin,['Hindi'],Within a Week,Within a week
Göknur,göknur.bermudez@gmx.de,26,Female,Remote Only,52.390638597028385,13.298866648546378,Germany,Berlin,"['Turkish', 'German']",Today,Within a week
Radosław,radosław.kwapisiewicz@yahoo.com,29,Male,Local or Remote,52.352691156451904,13.383602541712172,Germany,Berlin,"['Punjabi', 'Hindi', 'Spanish', 'Russian', 'Bengali']",Today,Within a week
Daniel,daniel.turati@zoho.com,28,Prefer not to say,Local or Remote,52.34590961017228,13.104397503784321,Germany,Berlin,"['Turkish', 'Punjabi']",Within a Month,Within a week
Ludovico,ludovico.dzierwa@1und1.de,30,Female,Local or Remote,52.643342453049854,13.15061921419028,Germany,Berlin,"['Russian', 'Polish', 'Hindi', 'Turkish']",Today,Within a month
Sonia,sonia.walker@yahoo.com,25,Female,Local or Remote,52.40571195946874,13.277239380858434,Germany,Berlin,"['Spanish', 'Japanese']",Within a Month,Within a week
Antoinette,antoinette.boutin@outlook.com,27,Male,Remote Only,52.63560685989832,13.14725144567933,Germany,Berlin,"['Ukrainian', 'Russian']",Within a Week,Within a week
Carole,carole.bombieri@gmail.com,26,Male,Remote Only,52.597342272944005,13.701158839257914,Germany,Berlin,"['Hindi', 'Turkish']",Within a Week,Within a week
Eraldo,eraldo.españa@yahoo.com,25,Male,Local or Remote,52.42993151816981,13.285041098948222,Germany,Berlin,"['French', 'Russian']",Within a Week,More than a month
Damaris,damaris.hamann@1und1.de,27,Female,Local or Remote,52.4707001142194,13.47953192980423,Germany,Berlin,"['Arabic', 'Bengali', 'Italian']",Within a Week,More than a month
Tere,tere.eraslan@gmail.com,26,Female,Local or Remote,52.57353892868263,13.676677164595962,Germany,Berlin,"['Punjabi', 'Mandarin Chinese', 'French', 'Turkish', 'Italian']",Within a Week,Within a week
Olivier,olivier.marini@zoho.com,29,Male,Local Only,52.381984138859714,13.46359268642679,Germany,Berlin,['Portuguese'],Recently,Within a week
Iara,iara.nunes@mail.com,23,Female,Local Only,52.37838914275136,13.22389463535996,Germany,Berlin,"['Hindi', 'Russian', 'Spanish', 'Mandarin Chinese', 'Polish']",Within a Week,Within a month
Benjamin,benjamin.payne@hotmail.com,27,Female,Local or Remote,52.355638770626285,13.626639483892793,Germany,Berlin,"['French', 'Punjabi', 'German']",Within a Week,Within a week
Candelaria,candelaria.hofmann@unitybox.de,25,Male,Local or Remote,52.366578868518324,13.75986741198174,Germany,Berlin,"['Mandarin Chinese', 'Polish', 'Bengali', 'Portuguese', 'Ukrainian']",Within a Week,Within a week
Guiomar,guiomar.ángel@icloud.com,26,Diverse,Local or Remote,52.44077593951681,13.32319428835369,Germany,Berlin,"['Ukrainian', 'Romanian']",Today,Within a week
