First_Name,EMail,Age,Gender,Location_Preferences,Coordinate,Country,City,Languages_Preferred,Last_Seen,Response_Time
Blanka,blanka.diallo@gmail.com,41,Other,Local or Remote,"(52.65020750727031, 13.453950162658447)",Germany,Berlin,"['Romanian', 'Portuguese', 'Italian', 'Punjabi', 'Spanish']",Within a Month,Within a month
Franca,franca.pires@arcor.de,56,Male,Local Only,"(52.46157199672177, 13.435252146512347)",Germany,Berlin,['English'],Recently,Within 24 hours
Afonso,afonso.çorlu@outlook.com,21,Male,Local Only,"(52.350807193977225, 13.314727050180634)",Germany,Berlin,"['Japanese', 'French', 'Punjabi', 'Russian', 'Hindi']",Today,Within 24 hours
Bruno,bruno.tirabassi@outlook.com,63,Other,Remote Only,"(52.648861355776965, 13.693866938215589)",Germany,Berlin,"['Polish', 'Mandarin Chinese']",Yesterday,Within a week
Çamok,çamok.amorós@yahoo.com,27,Female,Remote Only,"(52.379103527572475, 13.42899473628895)",Germany,Berlin,"['Japanese', 'Bengali', 'Punjabi', 'Turkish']",Yesterday,Within a week
Thérèse,thérèse.durand@1und1.de,32,Male,Local Only,"(52.670142344557156, 13.57259557005475)",Germany,Berlin,"['Spanish', 'Japanese', 'French']",Yesterday,Within 24 hours
Íris,íris.siatka@zoho.com,36,Female,Local or Remote,"(52.61354186916493, 13.458007907930059)",Germany,Berlin,['Portuguese'],Today,Within a month
Marcel,marcel.powała@mail.com,32,Female,Local Only,"(52.45977986440862, 13.385402767815785)",Germany,Berlin,"['Portuguese', 'Spanish', 'Mandarin Chinese', 'Arabic']",Recently,Within 24 hours
Rufino,rufino.ülker@1und1.de,21,Female,Local Only,"(52.57688731269562, 13.549165346470202)",Germany,Berlin,"['Japanese', 'Punjabi', 'English', 'French', 'Romanian']",Recently,Within 24 hours
Sebastião,sebastião.köster@web.de,32,Female,Local Only,"(52.43143434073895, 13.760605409258273)",Germany,Berlin,"['Hindi', 'Bengali', 'Japanese', 'Arabic']",Recently,Within a week
Gracia,gracia.valente@arcor.de,23,Other,Remote Only,"(52.444388489163295, 13.119838054291186)",Germany,Berlin,"['Italian', 'Turkish', 'Polish', 'English']",Within a Month,Within a week
Vanessa,vanessa.scott@protonmail.com,44,Other,Remote Only,"(52.34030686047192, 13.401448178295949)",Germany,Berlin,"['Spanish', 'Arabic', 'Italian', 'Punjabi']",Today,Within a month
Mariana,mariana.morgan@outlook.com,22,Male,Remote Only,"(52.55326224746345, 13.499816779281415)",Germany,Berlin,"['Turkish', 'French', 'Arabic', 'English', 'Russian']",Yesterday,Within a month
Catarina,catarina.boucsein@yahoo.com,28,Female,Remote Only,"(52.58997278984109, 13.236378665958622)",Germany,Berlin,['German'],Within a Month,Within 24 hours
Jacqueline,jacqueline.poirier@gmx.de,36,Other,Local or Remote,"(52.569229869925955, 13.683368023594113)",Germany,Berlin,"['Polish', 'Hindi', 'Spanish', 'Romanian', 'Russian']",Recently,Within 24 hours
Philip,philip.leclerc@icloud.com,42,Male,Local or Remote,"(52.66255337653372, 13.500739545385231)",Germany,Berlin,['Spanish'],Yesterday,Within 24 hours
Meinhard,meinhard.coll@outlook.com,35,Male,Local Only,"(52.63311453767034, 13.100367351184783)",Germany,Berlin,"['Ukrainian', 'Japanese', 'Turkish', 'Romanian', 'Arabic']",Over a Month Ago,Within 24 hours
