First_Name,EMail,Age,Gender,Location_Preferences,Latitude,Longitude,Country,City,Languages_Preferred,Last_Seen,Response_Time,Programming_and_Software_Development_off,Project_Management_off,Accounting_and_Finance_off,Marketing_and_Advertising_off,Sales_and_Customer_Service_off,Human_Resources_and_Leadership_off,Graphic_Design_and_Illustration_off,Photography_and_Photo_Editing_off,Music_instruments_Composition_and_Production_off,Writing_and_Editing_off,Arts_and_Crafts_and_DIY_Projects_off,Learning_Foreign_Languages_off,Written_and_Oral_Communication_in_Various_Languages_off,Interpretation_and_Translation_off,Computer_and_Software_Application_Operation_off,Network_Administration_and_IT_Support_off,Electronics_and_Robotics_off,Web_Design_and_Development_off,Data_Analysis_and_Visualization_off,Interpersonal_Communication_off,Conflict_Resolution_and_Mediation_off,Empathy_and_Emotional_Intelligence_off,Leadership_Skills_and_Teamwork_off,Networking_and_Relationship_Management_off,Cooking_and_Baking_off,Gardening_and_Farming_off,DIY_and_Repairs_off,Driving_and_Vehicle_Maintenance_off,First_Aid_and_Life_Saving_Techniques_off,Mathematics_and_Sciences_off,History_and_Social_Sciences_off,Literature_and_Philosophy_off,Research_Methods_and_Academic_Writing_off,Academic_Reading_and_Critique_off,Time_Management_and_Organization_off,Stress_Management_and_Mindfulness_off,Financial_Planning_and_Budgeting_off,Self_Defense_and_Personal_Safety_off,Healthcare_and_Nutrition_off,Count_Programming_and_Software_Development_off,Count_Project_Management_off,Count_Accounting_and_Finance_off,Count_Marketing_and_Advertising_off,Count_Sales_and_Customer_Service_off,Count_Human_Resources_and_Leadership_off,Count_Graphic_Design_and_Illustration_off,Count_Photography_and_Photo_Editing_off,Count_Music_instruments_Composition_and_Production_off,Count_Writing_and_Editing_off,Count_Arts_and_Crafts_and_DIY_Projects_off,Count_Learning_Foreign_Languages_off,Count_Written_and_Oral_Communication_in_Various_Languages_off,Count_Interpretation_and_Translation_off,Count_Computer_and_Software_Application_Operation_off,Count_Network_Administration_and_IT_Support_off,Count_Electronics_and_Robotics_off,Count_Web_Design_and_Development_off,Count_Data_Analysis_and_Visualization_off,Count_Interpersonal_Communication_off,Count_Conflict_Resolution_and_Mediation_off,Count_Empathy_and_Emotional_Intelligence_off,Count_Leadership_Skills_and_Teamwork_off,Count_Networking_and_Relationship_Management_off,Count_Cooking_and_Baking_off,Count_Gardening_and_Farming_off,Count_DIY_and_Repairs_off,Count_Driving_and_Vehicle_Maintenance_off,Count_First_Aid_and_Life_Saving_Techniques_off,Count_Mathematics_and_Sciences_off,Count_History_and_Social_Sciences_off,Count_Literature_and_Philosophy_off,Count_Research_Methods_and_Academic_Writing_off,Count_Academic_Reading_and_Critique_off,Count_Time_Management_and_Organization_off,Count_Stress_Management_and_Mindfulness_off,Count_Financial_Planning_and_Budgeting_off,Count_Self_Defense_and_Personal_Safety_off,Count_Healthcare_and_Nutrition_off,Sum_Skills_Off,Sum_Skills_Rec,Usability,Speed_Performance,Feature_Satisfaction,Security_Satisfaction,Customer_Support
Łukasz,łukasz.sezgin@gmx.de,25,Female,Local or Remote,52.3761723421112,13.581875899864857,Germany,Berlin,"['German', 'Portuguese', 'Russian', 'Mandarin Chinese']",Recently,Within a week,,,,,,,,,,,,,,,Novice,Novice,Beginner,Advanced,Expert,,,,,,,,,,,Novice,Novice,Advanced,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,6.0,6.0,Very Satisfied,Dissatisfied,Very Satisfied,Very Dissatisfied,Dissatisfied
Bianca,bianca.herrmann@icloud.com,25,Male,Remote Only,52.64411427669369,13.64864134763426,Germany,Berlin,"['Mandarin Chinese', 'Turkish', 'Romanian', 'Japanese', 'Spanish']",Within a Week,More than a month,,,,,,,,,,,,Expert,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,11.0,Very Satisfied,Dissatisfied,Very Dissatisfied,Satisfied,Neutral or Average
Adlan,adlan.jacobi jäckel@gmx.de,21,Female,Local or Remote,52.53124964493772,13.125490833259173,Germany,Berlin,['Spanish'],Within a Week,Within 24 hours,,,,,,,,,,,,Beginner,Advanced,Novice,,,,,,,,,,,,,,,,Novice,Novice,Beginner,Novice,Intermediate,Expert,Beginner,Beginner,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,2.0,Satisfied,Neutral or Average,Satisfied,Very Dissatisfied,Neutral or Average
Emilio,emilio.alemdar@web.de,28,Female,Local or Remote,52.4509857332517,13.199572428182716,Germany,Berlin,"['German', 'Spanish', 'Portuguese', 'Polish']",Within a Week,Within a month,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Novice,Expert,Novice,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,5.0,7.0,Satisfied,Satisfied,Very Satisfied,Neutral or Average,Very Satisfied
Valentin,valentin.çetin@t-online.de,31,Male,Local or Remote,52.59957776864355,13.277228249881588,Germany,Berlin,"['Mandarin Chinese', 'Hindi', 'Turkish']",Within a Week,Within a week,,,,,,,,,,,,Beginner,Intermediate,Intermediate,,,,,,,,,,,,,,,,,,,,,Beginner,Novice,Expert,Beginner,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,6.0,6.0,Neutral or Average,Very Satisfied,Neutral or Average,Very Dissatisfied,Neutral or Average
Clifford,clifford.dijoux@1und1.de,28,Male,Local or Remote,52.530867336061625,13.203349698534298,Germany,Berlin,"['Punjabi', 'French', 'Turkish', 'Spanish', 'Mandarin Chinese']",Over a Month Ago,More than a month,,,,,,,,,,,,,,,Advanced,Advanced,Novice,Novice,Beginner,Novice,Novice,Beginner,Intermediate,Expert,,,,,,,,,,,Expert,Advanced,Expert,Beginner,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,3.0,2.0,Very Satisfied,Very Dissatisfied,Dissatisfied,Satisfied,Neutral or Average
Mihrab,mihrab.akçay@gmail.com,24,Diverse,Remote Only,52.64885755981752,13.342032653346138,Germany,Berlin,['German'],Within a Week,Within a week,,,,,,,,,,,,,,,,,,,,Beginner,Intermediate,Novice,Advanced,Advanced,,,,,,Advanced,Novice,Advanced,Beginner,Beginner,Expert,Advanced,Beginner,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,15.0,19.0,Dissatisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied
Paige,paige.james@aol.com,23,Male,Remote Only,52.36513887741269,13.459380430421325,Germany,Berlin,"['German', 'Spanish', 'Turkish']",Recently,Within a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Expert,Novice,Beginner,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,11.0,10.0,Neutral or Average,Very Satisfied,Dissatisfied,Very Satisfied,Neutral or Average
Cláudio,cláudio.schomber@unitybox.de,27,Female,Local or Remote,52.53244501391367,13.644201033133523,Germany,Berlin,['Polish'],Today,Within 24 hours,,,,,,,,,,,,,,,Novice,Beginner,Novice,Expert,Beginner,,,,,,Novice,Novice,Intermediate,Advanced,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,6.0,7.0,Satisfied,Very Satisfied,Neutral or Average,Neutral or Average,Dissatisfied
Benjamin,benjamin.voisin@gmx.de,26,Female,Local or Remote,52.54296868859756,13.144871597903665,Germany,Berlin,"['Japanese', 'Turkish', 'Russian']",Yesterday,More than a month,Beginner,Expert,Intermediate,Novice,Novice,Beginner,,,,,,,,,Novice,Beginner,Novice,Intermediate,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,14.0,11.0,Satisfied,Very Satisfied,Dissatisfied,Satisfied,Neutral or Average
